layer,n_samples,n_mimicked_spans,n_literal_spans_total,n_aligned_spans,eot_cos_to_literal_hidden_mean,eot_l2_to_literal_hidden_mean,eot_special_vs_own_embedding_cos_margin_mean,eot_hidden_norm_mean,start_header_cos_to_literal_hidden_mean,start_header_l2_to_literal_hidden_mean,start_header_special_vs_own_embedding_cos_margin_mean,start_header_hidden_norm_mean,end_header_cos_to_literal_hidden_mean,end_header_l2_to_literal_hidden_mean,end_header_special_vs_own_embedding_cos_margin_mean,end_header_hidden_norm_mean,mimicked_post_span_attention_mass_mean,literal_post_span_attention_mass_mean,post_span_attention_mass_delta_mim_minus_literal
18,200,3.0,4.0,3.0,0.591401,9.398735,-0.088256,11.545945,0.240319,12.99862,-0.126881,11.141369,0.464777,9.879303,-0.072173,10.368499,0.09952,0.076661,0.022859
19,200,3.0,4.0,3.0,0.60919,10.714107,-0.089612,13.049356,0.257123,14.435535,-0.127775,12.33676,0.470937,10.770367,-0.069636,11.484021,0.061347,0.051432,0.009915
20,200,3.0,4.0,3.0,0.580101,11.647333,-0.093799,13.793024,0.255347,15.407528,-0.135276,13.421241,0.428608,11.741468,-0.078612,12.059602,0.063923,0.04899,0.014933
21,200,3.0,4.0,3.0,0.55675,12.970041,-0.098021,14.882178,0.23755,16.957355,-0.141649,14.786482,0.40955,12.884758,-0.078248,12.931158,0.057144,0.044266,0.012878
22,200,3.0,4.0,3.0,0.566778,14.497356,-0.101003,16.77651,0.24738,18.734413,-0.135007,16.427608,0.395025,14.123908,-0.073535,13.939861,0.055705,0.039155,0.016549
23,200,3.0,4.0,3.0,0.577744,15.978656,-0.106496,18.801164,0.273707,20.532842,-0.134958,18.44601,0.364583,16.031245,-0.067684,15.357937,0.065252,0.042129,0.023124
24,200,3.0,4.0,3.0,0.590123,17.331775,-0.101011,20.714824,0.283979,22.371179,-0.13273,20.225148,0.344129,17.518768,-0.050846,16.436368,0.042507,0.035649,0.006858
25,200,3.0,4.0,3.0,0.589913,18.759601,-0.09768,22.282291,0.280128,24.541108,-0.13838,22.20928,0.340664,18.984107,-0.049892,17.668682,0.046343,0.036367,0.009976
26,200,3.0,4.0,3.0,0.598656,20.13268,-0.099468,24.313593,0.299421,26.710644,-0.117452,24.581761,0.326934,20.8491,-0.047748,19.102953,0.051556,0.043332,0.008224
27,200,3.0,4.0,3.0,0.568897,22.788682,-0.097446,26.548609,0.312155,28.837376,-0.112068,26.908687,0.305874,23.554302,-0.048894,21.4659,0.072734,0.057277,0.015457
28,200,3.0,4.0,3.0,0.57169,24.866713,-0.099299,28.558146,0.320907,31.714809,-0.103225,29.517959,0.333386,25.47744,-0.043706,23.573256,0.059908,0.044135,0.015773
29,200,3.0,4.0,3.0,0.546327,27.917191,-0.099529,31.413737,0.340457,34.446395,-0.091966,32.515651,0.337866,28.380187,-0.04291,26.790291,0.0745,0.068057,0.006444
30,200,3.0,4.0,3.0,0.458048,33.625934,-0.087944,35.146345,0.302518,39.723731,-0.088364,35.916628,0.341069,31.669283,-0.0468,29.837493,0.082706,0.071555,0.011151
31,200,3.0,4.0,3.0,0.376789,40.711086,-0.085454,38.770497,0.256279,49.167389,-0.068709,41.628383,0.393254,37.65054,-0.046998,36.818254,0.135592,0.11025,0.025342
32,200,3.0,4.0,3.0,0.212173,182.610432,-0.033281,142.518868,0.197314,184.942258,-0.037008,144.203903,0.346202,167.217658,-0.022217,145.096759,0.109065,0.089327,0.019738
